87	The definition of class = @taylorswift13 #TaylorSwift #ACMAwards50 http://t.co/Yxt83lbnoc
88	Im still crying about Mama Swift's speech.\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\udc99\ud83d\udc99\ud83d\udc99 taylorswift { #TaylorSwift #Swiftie\u2026 https://t.co/uqlBBEK1CL
89	@SG4675 #April20th #SongOfTheDay #TaylorSwift #TaylorAcoustic https://t.co/ldjEQUR1I8 #GoodLuck #MondayMotivation
90	"And I love you for giving me your eyes, for staying back and watchin me shine" \ud83c\udfb6\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\udc96\ud83d\udc96\ud83d\udc96 #TaylorSwift http://t.co/C2REg1G3VA
91	This was such a precious moment \u2022 { taylorswift #taylorswift #tswift #ts #swift #swifties #singer\u2026 https://t.co/8z9nbf1Srb
92	Taylor Swift LEAKED PHOTOS WATCH - http://t.co/KtR3oFyRlx #TaylorSwift @taylorswift13 #CelebrityLeakedPhotos #CelebrityLeakedPhotos
93	I thought #taylorswift was going to tell Dallas that the cowboys suck.
94	#Diet #FatLoss Fat mass contributes to musculoskeletal pain risk: Fat mass contributes to\u2026 http://t.co/31cxrFlcwW #TaylorSwift #GetFit
95	Last but obvious one. taylorswift you're such a princess \u2661 #TaylorSwift #ACMawards #fashion\u2026 https://t.co/szAq6Y94lJ
96	Did you see #TaylorSwift win the Milestone Award? What a wonderful speech from her mom! #ACMAwards50 http://t.co/KsGaZ72tCp
97	"You truly see who a person is when you give them news that they weren't expecting." #taylorswift\u2026 https://t.co/JqzaQgxi2X
98	Love #TaylorSwift! She fits in any music world! #CMAMC2015
99	#TaylorSwift\u2019s ACM Awards Dress: Wows In Cutout Gown \u2013 Hollywood Life http://t.co/HG7rr8j8vG
100	#TaylorSwift &amp; Camila Cabello: Working On New Music Together? \u2013 Hollywood Life http://t.co/r58AYBAunY
101	#TaylorSwift Shows Off Her Signature Dance Moves at ACM Awards 2015 \u2013 Just Jared http://t.co/bzanlrbh4M
102	#ACMawards50 #TaylorSwift https://t.co/j4b5m5MNXL
103	"Somebody once told me-you truly see who a person is when you tell them something they don't wanna hear." #Truth #TaylorSwift #ACMawards50
104	Speaking of a girl crush #TaylorSwift \ud83d\ude48\ud83d\udc81\ud83c\udffc
